CMS		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
	ipmc	80D336013DCB	80:D3:36:01:3D:CB	host ipmc3020 {hardware ethernet 80:D3:36:01:3D:CB; fixed-address ipmc3020.edf.lo;}	C0A8243B	192.168.36.59	ipmc3020 IN A 192.168.36.59	59 IN PTR ipmc3020.edf.lo.	ethmacwr 2 80 D3 36 01 3D CB
3021	eth0	80D336013DCC	80:D3:36:01:3D:CC	host apollo3021-0 {hardware ethernet 80:D3:36:01:3D:CC; fixed-address apollo3021-0.edf.lo;}	C0A8243C	192.168.36.60	apollo3021-0 IN A 192.168.36.60	60 IN PTR apollo3021-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D CC
	eth1	80D336013DCD	80:D3:36:01:3D:CD	host apollo3021-1 {hardware ethernet 80:D3:36:01:3D:CD; fixed-address apollo3021-1.edf.lo;}	C0A8243D	192.168.36.61	apollo3021-1 IN A 192.168.36.61	61 IN PTR apollo3021-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D CD
	ipmc	80D336013DCE	80:D3:36:01:3D:CE	host ipmc3021 {hardware ethernet 80:D3:36:01:3D:CE; fixed-address ipmc3021.edf.lo;}	C0A8243E	192.168.36.62	ipmc3021 IN A 192.168.36.62	62 IN PTR ipmc3021.edf.lo.	ethmacwr 2 80 D3 36 01 3D CE
3022	eth0	80D336013DCF	80:D3:36:01:3D:CF	host apollo3022-0 {hardware ethernet 80:D3:36:01:3D:CF; fixed-address apollo3022-0.edf.lo;}	C0A8243F	192.168.36.63	apollo3022-0 IN A 192.168.36.63	63 IN PTR apollo3022-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D CF
	eth1	80D336013DD0	80:D3:36:01:3D:D0	host apollo3022-1 {hardware ethernet 80:D3:36:01:3D:D0; fixed-address apollo3022-1.edf.lo;}	C0A82440	192.168.36.64	apollo3022-1 IN A 192.168.36.64	64 IN PTR apollo3022-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D0
	ipmc	80D336013DD1	80:D3:36:01:3D:D1	host ipmc3022 {hardware ethernet 80:D3:36:01:3D:D1; fixed-address ipmc3022.edf.lo;}	C0A82441	192.168.36.65	ipmc3022 IN A 192.168.36.65	65 IN PTR ipmc3022.edf.lo.	ethmacwr 2 80 D3 36 01 3D D1
3023	eth0	80D336013DD2	80:D3:36:01:3D:D2	host apollo3023-0 {hardware ethernet 80:D3:36:01:3D:D2; fixed-address apollo3023-0.edf.lo;}	C0A82442	192.168.36.66	apollo3023-0 IN A 192.168.36.66	66 IN PTR apollo3023-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D D2
	eth1	80D336013DD3	80:D3:36:01:3D:D3	host apollo3023-1 {hardware ethernet 80:D3:36:01:3D:D3; fixed-address apollo3023-1.edf.lo;}	C0A82443	192.168.36.67	apollo3023-1 IN A 192.168.36.67	67 IN PTR apollo3023-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D3
	ipmc	80D336013DD4	80:D3:36:01:3D:D4	host ipmc3023 {hardware ethernet 80:D3:36:01:3D:D4; fixed-address ipmc3023.edf.lo;}	C0A82444	192.168.36.68	ipmc3023 IN A 192.168.36.68	68 IN PTR ipmc3023.edf.lo.	ethmacwr 2 80 D3 36 01 3D D4
3024	eth0	80D336013DD5	80:D3:36:01:3D:D5	host apollo3024-0 {hardware ethernet 80:D3:36:01:3D:D5; fixed-address apollo3024-0.edf.lo;}	C0A82445	192.168.36.69	apollo3024-0 IN A 192.168.36.69	69 IN PTR apollo3024-0.edf.lo.	ethmacwr 0 80 D3 36 01 3D D5
	eth1	80D336013DD6	80:D3:36:01:3D:D6	host apollo3024-1 {hardware ethernet 80:D3:36:01:3D:D6; fixed-address apollo3024-1.edf.lo;}	C0A82446	192.168.36.70	apollo3024-1 IN A 192.168.36.70	70 IN PTR apollo3024-1.edf.lo.	ethmacwr 1 80 D3 36 01 3D D6
	ipmc	80D336013DD7	80:D3:36:01:3D:D7	host ipmc3024 {hardware ethernet 80:D3:36:01:3D:D7; fixed-address ipmc3024.edf.lo;}	C0A82447	192.168.36.71	ipmc3024 IN A 192.168.36.71	71 IN PTR ipmc3024.edf.lo.	ethmacwr 2 80 D3 36 01 3D D7
Atlas		mac single hex	mac proper	dhcpd.apollo	IP hex	ip dec	edf.zone	edf.rev	ipmc command
3025	eth0	80D336006200	80:D3:36:00:62:00	host apollo3025-0 {hardware ethernet 80:D3:36:00:62:00; fixed-address apollo3025-0.edf.lo;}	C0A82448	192.168.36.72	apollo3025-0 IN A 192.168.36.72	72 IN PTR apollo3025-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 00
	eth1	80D336006201	80:D3:36:00:62:01	host apollo3025-1 {hardware ethernet 80:D3:36:00:62:01; fixed-address apollo3025-1.edf.lo;}	C0A82449	192.168.36.73	apollo3025-1 IN A 192.168.36.73	73 IN PTR apollo3025-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 01
	ipmc	80D336006301	80:D3:36:00:63:01	host ipmc3025 {hardware ethernet 80:D3:36:00:63:01; fixed-address ipmc3025.edf.lo;}	C0A8244A	192.168.36.74	ipmc3025 IN A 192.168.36.74	74 IN PTR ipmc3025.edf.lo.	ethmacwr 2 80 D3 36 00 63 01
3026	eth0	80D336006202	80:D3:36:00:62:02	host apollo3026-0 {hardware ethernet 80:D3:36:00:62:02; fixed-address apollo3026-0.edf.lo;}	C0A8244B	192.168.36.75	apollo3026-0 IN A 192.168.36.75	75 IN PTR apollo3026-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 02
	eth1	80D336006203	80:D3:36:00:62:03	host apollo3026-1 {hardware ethernet 80:D3:36:00:62:03; fixed-address apollo3026-1.edf.lo;}	C0A8244C	192.168.36.76	apollo3026-1 IN A 192.168.36.76	76 IN PTR apollo3026-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 03
	ipmc	80D336006302	80:D3:36:00:63:02	host ipmc3026 {hardware ethernet 80:D3:36:00:63:02; fixed-address ipmc3026.edf.lo;}	C0A8244D	192.168.36.77	ipmc3026 IN A 192.168.36.77	77 IN PTR ipmc3026.edf.lo.	ethmacwr 2 80 D3 36 00 63 02
3027	eth0	80D336006204	80:D3:36:00:62:04	host apollo3027-0 {hardware ethernet 80:D3:36:00:62:04; fixed-address apollo3027-0.edf.lo;}	C0A8244E	192.168.36.78	apollo3027-0 IN A 192.168.36.78	78 IN PTR apollo3027-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 04
	eth1	80D336006205	80:D3:36:00:62:05	host apollo3027-1 {hardware ethernet 80:D3:36:00:62:05; fixed-address apollo3027-1.edf.lo;}	C0A8244F	192.168.36.79	apollo3027-1 IN A 192.168.36.79	79 IN PTR apollo3027-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 05
	ipmc	80D336006303	80:D3:36:00:63:03	host ipmc3027 {hardware ethernet 80:D3:36:00:63:03; fixed-address ipmc3027.edf.lo;}	C0A82450	192.168.36.80	ipmc3027 IN A 192.168.36.80	80 IN PTR ipmc3027.edf.lo.	ethmacwr 2 80 D3 36 00 63 03
3028	eth0	80D336006206	80:D3:36:00:62:06	host apollo3028-0 {hardware ethernet 80:D3:36:00:62:06; fixed-address apollo3028-0.edf.lo;}	C0A82451	192.168.36.81	apollo3028-0 IN A 192.168.36.81	81 IN PTR apollo3028-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 06
	eth1	80D336006207	80:D3:36:00:62:07	host apollo3028-1 {hardware ethernet 80:D3:36:00:62:07; fixed-address apollo3028-1.edf.lo;}	C0A82452	192.168.36.82	apollo3028-1 IN A 192.168.36.82	82 IN PTR apollo3028-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 07
	ipmc	80D336006304	80:D3:36:00:63:04	host ipmc3028 {hardware ethernet 80:D3:36:00:63:04; fixed-address ipmc3028.edf.lo;}	C0A82453	192.168.36.83	ipmc3028 IN A 192.168.36.83	83 IN PTR ipmc3028.edf.lo.	ethmacwr 2 80 D3 36 00 63 04
3029	eth0	80D336006208	80:D3:36:00:62:08	host apollo3029-0 {hardware ethernet 80:D3:36:00:62:08; fixed-address apollo3029-0.edf.lo;}	C0A82454	192.168.36.84	apollo3029-0 IN A 192.168.36.84	84 IN PTR apollo3029-0.edf.lo.	ethmacwr 0 80 D3 36 00 62 08
	eth1	80D336006209	80:D3:36:00:62:09	host apollo3029-1 {hardware ethernet 80:D3:36:00:62:09; fixed-address apollo3029-1.edf.lo;}	C0A82455	192.168.36.85	apollo3029-1 IN A 192.168.36.85	85 IN PTR apollo3029-1.edf.lo.	ethmacwr 1 80 D3 36 00 62 09
